urls,male,female,university,college,intermediate,education_not_required,banking,insurance,security,real_estate,employee,observer,manager,chief_manager,age,min_age,max_age,min_exp,max_exp,min_salary,max_salary
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-tong-hop.35B7A056.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,27 - 35,27,35,3,10,12,15
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-tong-hop.35B77304.html,0,0,0,1,0,0,0,0,0,1,0,1,0,0,22 - 50,22,50,0,2,12,15
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cham-soc-khach-hang-bds-lam-tai-quan-7.35B78E97.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,5,12,15
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phap-che.35B79B20.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,25 - 35,25,35,1,2,12,15
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-marketing-content.35B79488.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,4,12,15
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-dai-ly.35B76003.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,3,12,15
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-tong-hop-gap.35B78B49.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,26 - 40,26,40,2,5,12,15
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-media.35B73E7F.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,3,5,12,15
https://careerbuilder.vn/vi/tim-viec-lam/tp-hcm-nhan-vien-ke-toan.35B79777.html,0,0,0,1,0,0,1,0,0,0,1,0,0,0,23 - 35,23,35,2,3,12,14
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-ke-toan-thanh-toan-lam-viec-tai-tp-hcm-cty-cp-noi-that-aka.35B7A10B.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,25 - 35,25,35,3,5,12,14
https://careerbuilder.vn/vi/tim-viec-lam/truong-phong-kinh-doanh-luong-15-trieu-cross-long-hai.35B7C181.html,0,0,0,1,0,0,0,0,0,1,0,0,1,0,28 - 40,28,40,1,3,11.5,15
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-moi-gioi-chung-khoan-phai-sinh.35B7786B.html,0,0,0,0,1,0,0,0,1,0,1,0,0,0,22 - 35,22,35,1,2,11,44
https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-moi-gioi-forex.35B7786C.html,0,0,0,0,1,0,0,0,1,0,1,0,0,0,22 - 35,22,35,1,2,11,44
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phap-che.35B79B20.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,25 - 35,25,35,1,2,12,15
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-marketing-content.35B79488.html,0,0,1,0,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,4,12,15
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-ly-dai-ly.35B76003.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,2,3,12,15
https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-tong-hop-gap.35B78B49.html,0,0,1,0,0,0,1,0,0,0,1,0,0,0,26 - 40,26,40,2,5,12,15
https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-media.35B73E7F.html,0,0,0,1,0,0,0,0,0,1,1,0,0,0,not_limited,not_limited,not_limited,3,5,12,15
